A1_FILIAL;A1_PESSOA;A1_NOME;A1_IDENT;A1_CLIENTE;A1_FORNEC;A1_VEND;A1_ETRANSP;A1_TPCGC;A1_CGC;A1_TIPO;A1_TIPORUR;A1_CEP;A1_END;A1_BAIRRO;A1_REGIAO;A1_MUN;A1_EST;A1_COD_MUN;A1_PAIS;A1_INSCR;A1_INSCRM;A1_GRPTRIB;A1_COMISS;A1_COMEMIS;A1_COMBX;A1_FONE;A1_CELULAR;A1_FAX;A1_EMAIL;A1_ENFE;A1_HPAGE;A1_FTP;A1_TABELA;A1_NREDUZ;A1_CONTATO;A1_RECPIS;A1_RECCOFI;A1_RECCSLL;A1_RAMOATV;A1_CREDITO;A1_LIMCRED;A1_ATIVO;A1_VENDE1;A1_VENDE2;A1_VENDE3;A1_COND;A1_CTADEB;A1_CTACRED;A1_SUFRAMA;A1_VENCIM;A1_COMCLI;A1_CODSIAF;A1_TRANSP;A1_SIMPLES;A1_REGESIM;A1_PERCATM;A1_ALEMISS;A1_ALBAIXA;A1_TVAR1;A1_TVAR2;A1_TVAR3;A1_TVAR4;A1_CALCSUF;A1_MENNOTA;A1_MENPAD1;A1_MENPAD2;A1_MENPAD3;A1_MENPAD4;A1_MENPAD5;A1_TPFRETE;A1_CODUSER;A1_DUPCRED;A1_UMOVME;A1_MSEXP;A1_UMOVINT;A1_UMOVID;A1_UMOVATV;A1_DTINCL;A1_IPDV;A1_IPDVINT;A1_IPDVID;A1_IPDVATV;A1_PFISICA;A1_ICSHOP;A1_ATVCSHP;A1_DTALTCS;A1_CSHOPID;A1_CSHPUTC;A1_PDVPAD;A1_IPDVCHV;A1_MSDT;A1_PERFCP;A1_CONTRIB;A1_OUTRMUN;A1_CODANTT;A1_RETISS;A1_TPNFSE;A1_GUID;A1_FLYID;A1_FLYUPD;A1_FLYDEL;A1_OBSERV
01;00013;GRAFMOL GRAFICA FORMULARIOS MOURA LTDA;;N;S;N;N;J;18.103.051/0001-04;;;35588000;AV.MARIA CUNHA AMORIM, 420;JD.BELA VISTA;;ARCOS;MG;04205;1058;0423909120043;;;0;0;0;(37)3351-1388;;;;;WWW.GRAFMOL.COM.BR;;001;GRAFMOL;;;;;000014;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00014;HENSO INDUSTRIAL LTDA;;S;S;N;N;J;21.860.143/0001-43;;;35519000;ROD.CARMEM DUARTE, 505;PLANALTO;;NOVA SERRANA;MG;45208;1058;4524515610082;;;0;0;0;;;;;;;;001;HENSO;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00015;IND.CALCADOS ADRICIA LTDA.;;S;S;N;N;J;01.165.846/0001-44;;;35519000;RUA AGENOR OLIMPIO CARVALHO, 305;PARK D.GUM.MARTINS;;NOVA SERRANA;MG;45208;1058;4529708630004;;;0;0;0;;;;;;;;001;ADRICIA;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00016;IND.CALCADOS AVELAR LTDA.;;S;S;N;N;J;01.050.583/0001-28;;;;RUA BOM DESPACHO, 1090;CENTRO;;NOVA SERRANA;MG;45208;1058;4529611890010;;;0;0;0;;;;;;;;001;AVELAR;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00017;IND.CALCADOS REGIL LTDA.;;S;S;N;N;J;00.442.340/0001-72;;;35519000;RUA DUQUE DE CAXIAS, 155 FUNDOS;CENTRO;;NOVA SERRANA;MG;45208;1058;4529182890030;;;0;0;0;(37)3226-2391;;;;;;;001;REGIL;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00018;IND.CALCADOS SATURNO LTDA.;;S;S;N;N;J;20.159.760/0001-53;;;35519000;RUA MARIA MANSO, 290;ANDRE DE FREITAS;;NOVA SERRANA;MG;45208;1058;4520604940050;;;0;0;0;(37)3226-1200;;;;;;;001;SATURNO;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00019;IND.CALCADOS SILMARA LTDA.;;S;S;N;N;J;20.890.182/0001-20;;;35519000;RUA DUQUE DE CAXIAS, 101;CENTRO;;NOVA SERRANA;MG;45208;1058;4521670900037;;;0;0;0;;;;;;;;001;;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00020;IND.CALCADOS SILVA BONFIM LTDA.;;S;S;N;N;J;07.196.786/0001-03;;;35515000;AV.JOSE LEITE FREITAS,  398;LOJA 2 CENTRO;;PERDIGAO;MG;49705;1058;;;;0;0;0;(37)3287-1819;;;;;;;001;SILVA BONFIM;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00021;IND. CALCALDOS TRILLAY LTDA.;;S;S;N;N;J;25.697.228/0001-03;;;35519000;RUA JOSE JOAO RODRIGUES, 240;SAO CRISTOVAO;;NOVA SERRANA;MG;45208;1058;452.831142.0084;;;0;0;0;(37)32267926;;;;;;;001;TRILLAY;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00022;IND.COM.CALCADOS SAO GERALDO LTDA.;;S;S;N;N;J;65.105.835/0001-51;;;35519000;RUA AGENOR OLIMPIO CARVALHO,  180;PARK D.GUM.MARTINS;;NOVA SERRANA;MG;45208;1058;4527458860057;;;0;0;0;;;;;;;;001;SAO GERALDO;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00023;IND.COM.CALCADOS RAY ON LTDA.;;S;S;N;N;J;03.200.325/0001-06;;;;AV.OZANAM, 348;CENTRO;;PERDIGAO;MG;49705;1058;4970245520026;;;0;0;0;(37)3287-1036;;;;;;;001;RAY ON;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00024;IND. COM CALCADOS VELAME LTDA.;;S;S;N;N;J;07.987.818/0001-99;;;35519000;RUA PADRE LIBERIO, 1405;JD. PADRE LIBERIO;;NOVA SERRANA;MG;45208;1058;0010104780053;;;0;0;0;(37)3225-2177;;;;;;;001;VELAME;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00025;IND. COM. SCHICK BIN ACC.MAQ. LTDA-EPP;;N;S;N;N;J;57.599.797/0001-02;;;09080050;PRACA GALDINO RAMOS DA SILVA , 130;CAMPESTRE;;SANTO ANDRE;SP;47809;1058;626036220110;;;0;0;0;(11)4461-5868;;;;;;;001;SCHICK BIN;VALDIR SCHICK (DIRETOR);;;;000085;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00026;IND. DE CALCADOS BLITTZ LTDA.;;S;S;N;N;J;42.807.651/0001-38;;;35519000;RUA JOSE MILITAO DOS REIS,  402;PARK D. GUMERCINDA M.;;NOVA SERRANA;MG;45208;1058;4528055910081;;;0;0;0;(37)3226-3109;;;;FATURAMENTOBLITTZ@DIGIMASTER.COM.BR;;;001;BLITTZ;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00027;INDUSTRIA E COM.DE MOVEIS COPAS EIRELI;;N;S;N;N;J;21.786.793/0016-72;;;36500000;RUA LUIZ BIGONHA, 500;LOURICAL;;UBA;MG;69901;1058;6992988730072;;;0;0;0;(32)35393444;;;;;;;001;PAROPAS;;;;;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20210111120235;0;;;;;;;;;;
01;00028;VORTEX DO BRASIL IND. COM. LTDA.;;S;S;N;N;J;05.127.823/0001-04;7;;89037250;RUA OTO ABRY, 177;AGUA VERDE;;BLUMENAU;SC;02404;1058;254459803;;;0;0;0;(47)3330-8431;;;;;;;001;VORTEX;;;;;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20190625145805;0;;;;;;;;;;
01;00029;WELLINGTON JOSE DE LACERDA;;S;S;N;N;J;01.743.984/0001-63;;;35519000;RUA MANOEL ALVES FILHO, 965;ROMEU DUARTE;;NOVA SERRANA;MG;45208;1058;4523450290061;;;0;0;0;(37)3226-3662;;;;;;;001;ESQUADROW;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00030;TELEMAR NORTE LESTE S/A;;N;S;N;N;J;33.000.118/0003-30;;;30130008;AV. AFONSO PENA, 4001;CENTRO;;BELO HORIZONTE;MG;06200;1058;0621499640047;;;0;0;0;;;;;;;;001;TELEMAR;;;;;000045;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00031;VEGGA CALCADOS LTDA.;;S;S;N;N;J;01.991.277/0001-96;;;35519000;RUA ANTONIO MARINS FILHO, 185;PARK D. G. MARTINS;;NOVA SERRANA;MG;45208;1058;4529832420024;;;0;0;0;;;;;;;;001;VEGGA;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00032;SELO VERDE INDUSTRIA TEXTIL LTDA.;;S;S;N;N;J;61.330.981/0001-20;;;07700000;AV. DAVID. KASITSKY, 580;VILA ROSINA;;CAIEIRAS;SP;09007;1058;239074099118;;;0;0;0;;;;;;;;001;SELO VERDE;;;;;000005;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00033;TEXTIL LAPO S.A;;S;S;N;N;J;60.584.984/0001-27;;;02987030;RUA ANTONIO DI NAPOLI, 385;PARADA DE TAIPAS;;SAO PAULO;SP;50308;1058;108596543111;;;0;0;0;(11)3943-8080;;;NFE@LAPO.COM.BR;NFE@LAPO.COM.BR;;;001;LAPO;;;;;000005;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00034;TRANS AMIGOS TRANSPORTES LTDA.;;N;S;N;N;J;01.169.444/0003-80;7;;;N/T;N/T;;SAO PAULO;SP;50308;1058;116224136111;;;0;0;0;(37) 3221-9893;;;;;;;001;;BETE;;;;000044;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00035;VICTORIA REGGIA IND. E COM. LTDA.;;N;S;N;N;J;03.247.029/0001-60;;;01136010;RUA JOAQUIM MANOEL DE MACEDO, 174;BARRA FUNDA;;SAO PAULO;SP;50308;1058;115492554110;;;0;0;0;;;;;;;;001;;;;;;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00036;NOVA SERRANA COUROS LTDA.;;S;S;N;S;J;18.383.745/0001-42;7;;35520012;RUA DIMAS GUIMARAES, 328;CENTRO;;NOVA SERRANA;MG;45208;1058;4521449070060;;;0;0;0;(37)3226-2355;;;COMPRAS@NOVASERRANACOUROS.COM.BR;TI@JBTEXTIL.COM;COMPRAS@NOVASERRANACOUROS.COM.BR;;;001;NSC;;2;2;2;000005;N;0;1;;;;04;;;;;0;;00036;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20220810134540;0;;;;;;;;;;GXA-8541 HBN-3550
01;00037;PANIFICADORA SAO JOSE LTDA.;;N;S;N;N;J;20.146.536/0001-27;7;;35500001;RUA GOIAS,  653;CENTRO;;DIVINOPOLIS;MG;22306;1058;2230404400010;;;0;0;0;(37)3221-4987;;;;;;;001;;;2;2;2;000011;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00038;PAULO JOSE LAMOUNIER;;S;S;N;N;J;02.819.980/0001-84;;;35519000;RUA LEONARDO AZEVEDO, 539;LARANJEIRAS;;NOVA SERRANA;MG;45208;1058;4529924500008;;;0;0;0;(37)3225-1101;;;;;;;001;;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00039;PERDIGAO COMPONENTES CALCADOS LTDA.;;S;S;N;N;J;01.395.373/0001-71;7;;35519000;RUA SAO JOAO,  110;PROL. SANTA LUZIA;;NOVA SERRANA;MG;45208;1058;4521991940050;;;0;0;0;(37)3226-1838;;;;;;;001;PERDIGAO;;2;2;2;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00040;PVTEC - IND. COM. POLIMEROS LTDA;;S;S;N;N;J;08.534.940/0001-72;7;;13050436;RUA SEBASTIAO DA SILVA, 110;CIDADE JARDIM;;CAMPINAS;SP;09502;1058;244716778116;;;0;0;0;(35)3551-5746;(35)9985-3349;;;;;BTA6242;001;BELSONO;WILSON (TURQUINHO);2;2;2;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;ESPUMAS FABRICA :ALAÉRCIO (19)3729-2000
01;00041;PERIPAN INDUSTRIAL LTDA.;;N;S;N;N;J;16.768.319/0001-00;7;;35680970;RUA DO HORTO, 940;DISTRITO INDUSTRIAL;;ITAUNA;MG;33808;1058;3383047440090;;;0;0;0;(37) 3249-4200;;;;;;;001;;;2;2;2;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00042;RANDALL IND. E COM. DE CALCADOS LTDA;;S;S;N;N;J;42.791.996/0001-40;;;35516000;RUA DIAMANET, 208;BELA VISTA;;SAO GONCALO DO PARA;MG;61809;1058;6188266840077;;;0;0;0;(37)3234-1258;;;;;;;001;RANDALL;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00043;RODYS IND. COM. LTDA.;;S;S;N;N;J;01.054.682/0001-88;;;;RUA JOSE JACINTO BRANDAO, 461;CENTRO;;PERDIGAO;MG;49705;1058;4979600810080;;;0;0;0;;;;;;;;001;RODYS;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00044;INDUSTRIA QUIMICA WAYBOR LTDA.;;N;S;N;N;J;59.136.127/0001-85;;;09990090;AV. ROBERTO GORDON, 109;VILA LIDIA;;DIADEMA;SP;13801;1058;286005504113;;;0;0;0;(11)40716188;96599547;;;;;;001;;CABRAL;;;;000041;N;0;1;;;;01;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20211027084110;0;;;;;;;;;;cola para dublagem
01;00045;INJEDIL EIRELI EPP;;S;S;N;N;J;22.133.292/0001-73;;;35501286;AV AMAZONAS, 2990;BELA VISTA;;DIVINOPOLIS;MG;22306;1058;2235142560087;;;0;0;0;(37)3212-2666;;;INJEDIL@VELOXMAIL.COM.BR;INJEDIL@VELOXMAIL.COM.BR;;;001;;;;;;000004;N;0;1;;;;01;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20240222083906;0;;;;;;;;;;
01;00046;KARL MAYER MAQUINAS TEXTEIS LTDA;;N;S;N;N;J;43.381.722/0001-46;;;;AV. DR. ALBERTO JACKSON BYINGTON, 1760;VILA MENCK;;OSASCO;SP;34401;1058;492474815116;;;0;0;0;;;;;;;;001;;;;;;000040;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00047;KENNYNHO IND. CALCADOS LTDA EPP.;;S;S;N;N;J;05.166.148/0001-14;;;35519000;AV. BENJ. MARTINS ESPIRITO SANTO, 1799;PARK D. GUM. MARTINS;;NOVA SERRANA;MG;45208;1058;4521878120069;;;0;0;0;;;;;;;;001;KENNINHO;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00048;LUITEX MAQUINAS E FERRAMENTAS LTDA.;;N;S;N;N;J;51.051.811/0002-33;;;13465440;RUA DOM PEDRO II, 786;SANTA CATARINA;;AMERICANA;SP;01608;1058;165038713110;;;0;0;0;(19)3475-9431;9685-9253;;;;;;001;;ANDERSON BEN;;;;000001;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;TINTA PARA MARCAR TECIDO
01;00049;MAYER DO BRASIL MAQUINAS TEXTEIS LTDA.;;N;S;N;N;J;04.689.773/0001-88;;;13323141;RUA ITALIA MANFREDINI, 31;NUCLEO INDL.ALERT;;SALTO;SP;45209;1058;600044740112;;;0;0;0;(11)40288850;;;;;;;001;MAYER;;;;;000069;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00050;MULTIMEX TRADING S/A.;;N;S;N;N;J;04.289.494/0001-27;;;29010004;AV. JERONIMO MONTEIRO, 1000 S/902,904,906;CENTRO;;VITORIA;ES;05309;1058;082086460;;;0;0;0;(27)21233444;;;;;;;001;;;;;;000005;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00051;MYZON INDUSTRIA CALCADOS LTDA;;S;S;N;N;J;06.864.840/0001-89;;;35519000;AV. BENJ. MARTINS ESPIRITO SANTO,  1800;PARK D. GUMERCINDA MAR.;;NOVA SERRANA;MG;45208;1058;4523041950049;;;0;0;0;(37)3226-1445;;;;;;;001;MYZON;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00052;ELETRICA DIVINOPOLIS LTDA;;N;S;N;N;J;20.158.432/0001-32;;;35500008;RUA PERNAMBUCO, 400;CENTRO;;DIVNOPOLIS;MG;22306;1058;2230342150058;;;0;0;0;37-3229-5450;;;;;;;001;;;;;;;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00053;ELETROMUNIZ LTDA - EPP;;S;S;N;N;J;20.903.522/0001-00;;;35502118;RUA IGUATAMA, 1240;N.S. CONCEICAO;;DIVINOPOLIS;MG;22306;1058;2234591740006;;;0;0;0;37-3214-1696;;;;;;;001;;EDUARDO;;;;;N;0;1;;;;04;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20210406145903;0;;;;;;;;;;
01;00054;MIGNET;;N;S;N;N;;;;;35500000;AV ANTONIO OLIMPIO DE MORAES;CENTRO;;DIVINOPOLIS;MG;22306;1058;;;;0;0;0;3214-5728;;;;;;;001;;;;;;;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
